username,email,first_name,last_name,password,is_verified
roger.carraud12,roger.carraud12@hotmail.fr,Roger,Carraud,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bruno.badan13,bruno.badan13@hotmail.fr,Bruno,Badan,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
charles.piccand14,charles.piccand14@sunrise.ch,Charles,Piccand,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
marcel.meyer15,marcel.meyer15@vtxnet.ch,Marcel,Meyer,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean-pierre.chevalley16,jean-pierre.chevalley16@yahoo.fr,Jean-Pierre,Chevalley,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
charles.chapuis17,charles.chapuis17@vtxnet.ch,Charles,Chapuis,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
daniel.muriset18,daniel.muriset18@yahoo.fr,Daniel,Muriset,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jonathan.chappuis19,jonathan.chappuis19@hotmail.fr,Jonathan,Chappuis,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
nicolas.bourquard20,nicolas.bourquard20@romandie.com,Nicolas,Bourquard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jonathan.francillon21,jonathan.francillon21@vtxnet.ch,Jonathan,Francillon,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
théo.joye22,théo.joye22@romandie.com,Théo,Joye,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
nicolas.mottiez23,nicolas.mottiez23@vtxnet.ch,Nicolas,Mottiez,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
thomas.montandon24,thomas.montandon24@vtxnet.ch,Thomas,Montandon,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
nicolas.corboz25,nicolas.corboz25@hotmail.fr,Nicolas,Corboz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
michael.bavaud26,michael.bavaud26@hotmail.fr,Michael,Bavaud,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
hugo.georges27,hugo.georges27@hispeed.ch,Hugo,Georges,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
frédéric.chaudet28,frédéric.chaudet28@vtxnet.ch,Frédéric,Chaudet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean-claude.boichat29,jean-claude.boichat29@gmail.com,Jean-Claude,Boichat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
loïc.bugnon30,loïc.bugnon30@bluewin.ch,Loïc,Bugnon,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
samuel.chaudet31,samuel.chaudet31@yahoo.fr,Samuel,Chaudet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
henri.rapraz32,henri.rapraz32@gmail.com,Henri,Rapraz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christian.cretton33,christian.cretton33@romandie.com,Christian,Cretton,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean.monnard34,jean.monnard34@yahoo.fr,Jean,Monnard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bernard.crevoisier35,bernard.crevoisier35@bluewin.ch,Bernard,Crevoisier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
claude.chevrolet36,claude.chevrolet36@hotmail.fr,Claude,Chevrolet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
david.cosendey37,david.cosendey37@yahoo.fr,David,Cosendey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean.bouvier38,jean.bouvier38@hotmail.fr,Jean,Bouvier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
roger.jacot-guillarmod39,roger.jacot-guillarmod39@yahoo.fr,Roger,Jacot-Guillarmod,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
alain.grosjean40,alain.grosjean40@bluewin.ch,Alain,Grosjean,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
louis.monnet41,louis.monnet41@yahoo.fr,Louis,Monnet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
hugo.bonvin42,hugo.bonvin42@hispeed.ch,Hugo,Bonvin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jonathan.monnard43,jonathan.monnard43@hotmail.fr,Jonathan,Monnard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
david.quartier44,david.quartier44@romandie.com,David,Quartier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
gilbert.vienne45,gilbert.vienne45@vtxnet.ch,Gilbert,Vienne,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
julien.duvanel46,julien.duvanel46@romandie.com,Julien,Duvanel,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
gilbert.conrad47,gilbert.conrad47@hotmail.fr,Gilbert,Conrad,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
patrick.rey48,patrick.rey48@hispeed.ch,Patrick,Rey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
gilbert.martin49,gilbert.martin49@vtxnet.ch,Gilbert,Martin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
matteo.pasquier50,matteo.pasquier50@vtxnet.ch,Matteo,Pasquier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
vincent.piccand51,vincent.piccand51@yahoo.fr,Vincent,Piccand,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
nolan.pasquier52,nolan.pasquier52@vtxnet.ch,Nolan,Pasquier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
thomas.besençon53,thomas.besençon53@yahoo.fr,Thomas,Besençon,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
gilbert.chaudet54,gilbert.chaudet54@hotmail.fr,Gilbert,Chaudet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
georges.balmat55,georges.balmat55@hotmail.fr,Georges,Balmat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
andré.robert56,andré.robert56@bluewin.ch,André,Robert,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
roland.cosendey57,roland.cosendey57@vtxnet.ch,Roland,Cosendey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
noah.musy58,noah.musy58@romandie.com,Noah,Musy,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
samuel.bernasconi59,samuel.bernasconi59@hispeed.ch,Samuel,Bernasconi,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
daniel.vienne60,daniel.vienne60@yahoo.fr,Daniel,Vienne,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
david.dubey61,david.dubey61@vtxnet.ch,David,Dubey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
georges.grojean62,georges.grojean62@hotmail.fr,Georges,Grojean,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
raymond.cretton63,raymond.cretton63@hispeed.ch,Raymond,Cretton,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
thierry.robert64,thierry.robert64@romandie.com,Thierry,Robert,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
albert.grosjean65,albert.grosjean65@bluewin.ch,Albert,Grosjean,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
luca.barman66,luca.barman66@gmail.com,Luca,Barman,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
florian.cornut67,florian.cornut67@sunrise.ch,Florian,Cornut,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
guillaume.courvoisier68,guillaume.courvoisier68@sunrise.ch,Guillaume,Courvoisier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
patrick.meyer69,patrick.meyer69@hispeed.ch,Patrick,Meyer,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
frédéric.boechat70,frédéric.boechat70@sunrise.ch,Frédéric,Boechat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
henri.barman71,henri.barman71@gmail.com,Henri,Barman,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jacques.vallélian72,jacques.vallélian72@gmail.com,Jacques,Vallélian,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
samuel.aebi73,samuel.aebi73@romandie.com,Samuel,Aebi,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
lucas.duvanel74,lucas.duvanel74@hispeed.ch,Lucas,Duvanel,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
henri.morard75,henri.morard75@sunrise.ch,Henri,Morard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
vincent.marti76,vincent.marti76@gmail.com,Vincent,Marti,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bernard.chevalley77,bernard.chevalley77@hispeed.ch,Bernard,Chevalley,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
alexandre.boichat78,alexandre.boichat78@romandie.com,Alexandre,Boichat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
alexandre.bovet79,alexandre.bovet79@hispeed.ch,Alexandre,Bovet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
raymond.muriset80,raymond.muriset80@bluewin.ch,Raymond,Muriset,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
pascal.martin81,pascal.martin81@sunrise.ch,Pascal,Martin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
olivier.meyer82,olivier.meyer82@sunrise.ch,Olivier,Meyer,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
maxime.treboux83,maxime.treboux83@sunrise.ch,Maxime,Treboux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
georges.vallélian84,georges.vallélian84@bluewin.ch,Georges,Vallélian,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
michel.vienne85,michel.vienne85@romandie.com,Michel,Vienne,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
guillaume.balmat86,guillaume.balmat86@bluewin.ch,Guillaume,Balmat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
louis.rapraz87,louis.rapraz87@sunrise.ch,Louis,Rapraz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
rené.cornuz88,rené.cornuz88@bluewin.ch,René,Cornuz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
henri.joye89,henri.joye89@bluewin.ch,Henri,Joye,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
andré.nüsslin90,andré.nüsslin90@yahoo.fr,André,Nüsslin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
gérard.vermeil91,gérard.vermeil91@bluewin.ch,Gérard,Vermeil,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
maurice.chapuis92,maurice.chapuis92@vtxnet.ch,Maurice,Chapuis,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jacques.nusslé93,jacques.nusslé93@bluewin.ch,Jacques,Nusslé,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
daniel.nüsslin94,daniel.nüsslin94@vtxnet.ch,Daniel,Nüsslin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
daniel.vermeil95,daniel.vermeil95@hotmail.fr,Daniel,Vermeil,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bruno.galland96,bruno.galland96@yahoo.fr,Bruno,Galland,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
léo.courvoisier97,léo.courvoisier97@sunrise.ch,Léo,Courvoisier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
thomas.corpataux98,thomas.corpataux98@gmail.com,Thomas,Corpataux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
julien.crivelli99,julien.crivelli99@vtxnet.ch,Julien,Crivelli,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
kevin.bourquard100,kevin.bourquard100@vtxnet.ch,Kevin,Bourquard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean-pierre.uldry101,jean-pierre.uldry101@romandie.com,Jean-Pierre,Uldry,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
raymond.carraux102,raymond.carraux102@gmail.com,Raymond,Carraux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
antonio.morard103,antonio.morard103@bluewin.ch,Antonio,Morard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
romain.godet104,romain.godet104@yahoo.fr,Romain,Godet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
paul.brahier105,paul.brahier105@romandie.com,Paul,Brahier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
roland.isella106,roland.isella106@gmail.com,Roland,Isella,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
théo.diesbach107,théo.diesbach107@hotmail.fr,Théo,Diesbach,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
antonio.pellet108,antonio.pellet108@yahoo.fr,Antonio,Pellet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
philippe.mottiez109,philippe.mottiez109@hotmail.fr,Philippe,Mottiez,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
philippe.babey110,philippe.babey110@hispeed.ch,Philippe,Babey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
andré.jomini111,andré.jomini111@yahoo.fr,André,Jomini,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
raymond.paccot112,raymond.paccot112@sunrise.ch,Raymond,Paccot,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
pascal.diesbach113,pascal.diesbach113@yahoo.fr,Pascal,Diesbach,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
antonio.grosjean114,antonio.grosjean114@sunrise.ch,Antonio,Grosjean,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christophe.beuchat115,christophe.beuchat115@romandie.com,Christophe,Beuchat,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
raymond.vonlanthen116,raymond.vonlanthen116@hotmail.fr,Raymond,Vonlanthen,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
pierre.deshusses117,pierre.deshusses117@gmail.com,Pierre,Deshusses,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
théo.bonvini118,théo.bonvini118@romandie.com,Théo,Bonvini,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
vincent.nusslé119,vincent.nusslé119@romandie.com,Vincent,Nusslé,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
jean.carron120,jean.carron120@romandie.com,Jean,Carron,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
noah.godet121,noah.godet121@gmail.com,Noah,Godet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
alain.paccot122,alain.paccot122@vtxnet.ch,Alain,Paccot,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
louis.barman123,louis.barman123@romandie.com,Louis,Barman,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christian.corboz124,christian.corboz124@vtxnet.ch,Christian,Corboz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
claude.muriset125,claude.muriset125@gmail.com,Claude,Muriset,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
stéphane.treboux126,stéphane.treboux126@hispeed.ch,Stéphane,Treboux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
maurice.crivelli127,maurice.crivelli127@vtxnet.ch,Maurice,Crivelli,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
charles.dubey128,charles.dubey128@sunrise.ch,Charles,Dubey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
olivier.cosendey129,olivier.cosendey129@romandie.com,Olivier,Cosendey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
léo.comte130,léo.comte130@sunrise.ch,Léo,Comte,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
luca.corboz131,luca.corboz131@hotmail.fr,Luca,Corboz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
roland.robadey132,roland.robadey132@bluewin.ch,Roland,Robadey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
rené.uldry133,rené.uldry133@yahoo.fr,René,Uldry,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christian.théraulaz134,christian.théraulaz134@yahoo.fr,Christian,Théraulaz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
eric.quartier135,eric.quartier135@bluewin.ch,Eric,Quartier,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
michael.monney136,michael.monney136@sunrise.ch,Michael,Monney,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
stéphane.bernasconi137,stéphane.bernasconi137@yahoo.fr,Stéphane,Bernasconi,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
nolan.alber138,nolan.alber138@hotmail.fr,Nolan,Alber,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
thierry.badan139,thierry.badan139@romandie.com,Thierry,Badan,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christian.rey140,christian.rey140@hotmail.fr,Christian,Rey,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
patrick.polla141,patrick.polla141@hispeed.ch,Patrick,Polla,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
patrick.béguelin142,patrick.béguelin142@sunrise.ch,Patrick,Béguelin,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
maurice.badan143,maurice.badan143@bluewin.ch,Maurice,Badan,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
david.cornut144,david.cornut144@bluewin.ch,David,Cornut,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
